L1 Questions:
1. 展示全球流域（Global_watershed）（gSH）
2. 展示全球道路（ne_10m_roads）（gSH）
3. 展示南极冰架（ne_10m_antarctic_ice_shelves_polys）（gSH）
4. 展示宗教场所（gis_osm_pofw_free_1或gis_osm_pofw_a_free_1）（gSH）
5. 展示全球行政区划（ne_10m_admin_1_states_provinces）（gSH）
6. 展示图书馆（PublicLibraries）（gSH）
7. 展示印度（世界国家-NAME_eq_INDIA）（gkvfSH）
8. 展示编码大于等于32的美国州（states-STATE_FIPS_gte_32）（gkvfSH）
9. 展示最大人口在376558到1463000之间的人口聚集地（ne_10m_populated_places-POP_MAX_btwn_376558_and_1463000）（gkvfSH）
10. 展示替代名称为空的湖泊（ne_10m_lakes-name_alt_isnull）（gkvfSH）
11. 展示纯军用飞机场（ne_10m_airports-type_eq_military）（gkvfSH）
12. 展示网站包含3个小写o的港口（ne_10m_ports-website_like_pctopctopctopct）（gkvfSH）
13. 展示武夷山国家公园的面积（武夷山国家公园_measured）（gaSH）
14. 展示房产模型的面积（PROP_CONDOMODELSHGHRSE2025_A_measured）（gaSH）
15. 展示南极Ross Ice Shelf面积（ne_10m_antarctic_ice_shelves_polys-name_eq_Ross_Ice_Shelf_measured）（gkvfaSH）
16. 展示印度面积（世界国家-NAME_eq_INDIA_measured）（gkvfaSH）
17. 展示美国德州的面积（ne_10m_admin_1_states_provinces-name_eq_Texas_measured或ne_10m_admin_1_states_provinces-name_en_eq_Texas_or_name_eq_Texas_or_nam_3afa0bd1_measured或ne_10m_admin_1_states_provinces-name_like_pctTexaspct_and_adm0_a3_like_p_3f6de424_measured或states-STATE_NAME_eq_Texas_measured）（gkvfaSH）
18. 展示柬埔寨到印度的距离（世界国家-NAME_eq_CAMBODIA_to_世界国家-NAME_eq_INDIA_lines）（gkvffdSH）
19. 展示非空中信号线到空导管信号线的距离（Signal_Interconnects_CDL-TYPE_neq_Aerial_to_Signal_Interconnects_CDL-TYPE_eq_Empty_Conduit_lines或Signal_Interconnects_CDL-TYPE_eq_Underground_to_Signal_Interconnects_CDL-TYPE_eq_Empty_Conduit_lines）（gkvffdSH）
20. 展示1403781SAMH检查井到1403814SAMH检查井的距离（UTIL_SANMANHOLE_P-FACILITYID_eq_1403781SAMH_to_UTIL_SANMANHOLE_P-FACILITYID_eq_1403814SAMH_lines）（gkvffdSH）

L2 Questions:
1. 展示秩为4或国家级别比例尺为75的飞机场（ne_10m_airports-scalerank_eq_4_or_natlscale_eq_75）（gakvvfSH）
2. 展示秩为4或国家级别比例尺为75或定位在跑道的飞机场（ne_10m_airports-scalerank_eq_4_or_natlscale_eq_75_or_loc_4c64b318）（gakvvvfSH）
3. 展示庇护所数量不是1个且不为常规站的公交站点（Bus_Stops-NUM_SHELTE_neq_1_and_STOP_TYPE_neq_REG）（gakvvfSH）
4. 展示在1ST AVE NW街道上2019-11-01核查的减速带（Speed_Humps_CDL-ONSTREET_eq_1ST_AVE_NW_and_LAST_VERIF_eq_4574cb9b或Speed_Humps_CDL-ONSTREET_eq_1ST_AVE_NW_and_LAST_VERIF_eq_4b243d00）（gakvvfSH）
5. 展示非土非水类型且服务于人居环境或土壤保护且Location中含有9217公里的生态功能服务区（生态功能服务区-自然地域-TYPE_neq_土壤保持_and_TYPE_neq_水源涵养_and_SERV_c18ed36f或生态功能服务区-自然地域-TYPE_not_IN_土壤保持_水源涵养_and_SERVICE_like_p_17dcd8ef或生态功能服务区-自然地域-LOCATION_like_pct9217pct_and_TYPE_neq_土壤_8adcd82e）（gakvvvfSH）
6. 展示邮政编码最后一位是8或位于城市首字母是C的图书馆（PublicLibraries-ZIP_like_pct8_or_CITY_like_Cpct）（gakvvfSH）
7. 展示美国加州相邻的州（states-INTERSECTS_the_geom_querySingle_states_t_d539c978）（gkvfSH）
8. 展示美国加州不相邻的州（states-DISJOINT_the_geom_querySingle_states_the_e2f030c3）（gkvfSH）
9. 展示美国佛罗里达州相邻的州（states-INTERSECTS_the_geom_querySingle_states_t_0a6c860a或states-INTERSECTS_the_geom_querySingle_states_t_da160294）（gkvfSH）
10. 展示爱荷华州不相邻的州（states-DISJOINT_the_geom_querySingle_states_the_4b1da045）（gkvfSH）
11. 展示美国佛罗里达州不相邻的州（states-DISJOINT_the_geom_querySingle_states_the_63f3f8da）（gkvfSH）
12. 展示美国特拉华州不相邻的州（states-DISJOINT_the_geom_querySingle_states_the_54a89f7d）（gkvfSH）
13. 展示秩为4或国家级别比例尺为75飞机场的1公里缓冲区（ne_10m_airports-scalerank_eq_4_or_natlscale_eq_751kilometers缓冲区或ne_10m_airports-scalerank_eq_4_or_natlscale_eq_751000meters缓冲区或ne_10m_airports-scalerank_eq_4_or_natlscale_eq_751kilometers缓冲区）（gakvvfbSH）
14. 展示庇护所数量为1且为学校站的公交站点1500米缓冲区（Bus_Stops-NUM_SHELTE_eq_1_and_STOP_TYPE_eq_SCH,Bus_Stops-NUM_SHELTE_eq_1_and_STOP_TYPE_eq_SCH1500meters缓冲区）（gakvvfbSH）
15. 展示道路中名为Central Park Driveway的500米缓冲区（tiger_roads-NAME_eq_Central_Park_Driveway500meters缓冲区或tiger_roads-NAME_like_pctCentral_Park_Drivewaypct,tiger_roads-NAME_like_pctCentral_Park_Drivewaypct500meters缓冲区）（gkvfbSH）
16. 展示类型为主要高铁且长度133km的道路的1公里缓冲区（ne_10m_roads-type_eq_Major_Highway_and_length_km_eq_133,ne_10m_roads-type_eq_Major_Highway_and_length_km_eq_1331000meters缓冲区或ne_10m_roads-type_eq_Major_Highway_and_length_km_eq_1331kilometers缓冲区）（gakvvfbSH）
17. 展示庇护所数量为0个且为学校站的公交站点的3公里缓冲区（Bus_Stops-NUM_SHELTE_eq_0_and_STOP_TYPE_eq_SCH3000meters缓冲区或us_Stops-NUM_SHELTE_eq_0_and_STOP_TYPE_eq_SCH3kilometers缓冲区）（gakvvfbSH））
18. 展示György Kepes & Juliet Kepes一起存放壁画艺术品的地方的2公里缓冲区（Public_Art-Artist_Ful_eq_György_Kepes_Juliet_Kepes__bd4740522kilometers缓冲区）（gakvvfbSH）
19. 展示三个设施13490SAMH、13622SAMH、13795SAMH之中存在深度大于11.44小于等于14.77或1990-09-17安装的公共废弃检查井的1500米缓冲区（UTIL_SANMANHOLE_P-FACILITYID_in_13490SAMH13622SAMH13795SAM_54232fd51500meters缓冲区或UTIL_SANMANHOLE_P-FACILITYID_in_13490SAMH_13622SAMH_13795S_6723c3891500meters缓冲区或UTIL_SANMANHOLE_P-FACILITYID_in_13490SAMH_13622SAMH_13795SAMH1500meters缓冲区）（gakvvvvvfbSH）
20. 展示陆地面积大于400000水面积大于500失业人数大于500000且男性人口大于700000且女性人口大于10000000的美国大州的3000米缓冲区（states-LAND_KM_gt_400000_and_WATER_KM_gt_500_an_ac9722ac3000meters缓冲区）（gakvvvvvfbSH）

L3 Questions:
1. 展示武夷山国家公园和海南热带雨林国家公园二者的面积（武夷山国家公园_measured,海南热带雨林国家公园_measured）（gaaSH）
2. 展示印度和德州二者的面积（世界国家-NAME_eq_INDIA_measured,states-STATE_NAME_eq_Texas_measured）（gkvfkvfaaSH）
3. 展示卡维尔盐漠和加州二者的面积（ne_10m_playas-name_zh_eq_卡维尔盐漠_or_name_eq_Dasht-e_Kavir_measured,ne_10m_admin_1_states_provinces-name_eq_California_measured或ne_10m_playas-name_eq_Dasht-e_Kavir_measured,ne_10m_admin_1_states_provinces-name_eq_California_or_name_en_eq_Califor_6a231a5e_measured或ne_10m_playas-name_eq_Dasht-e_Kavir_measured,ne_10m_admin_1_states_provinces-name_eq_California_measured或ne_10m_playas-name_eq_Dasht-e_Kavir_measured,ne_10m_admin_1_states_provinces-name_like_pctCaliforniapct_or_name_like__e05b64d6_measured）（gkvfkvfaaSH）
4. 展示陆地面积大于400000水面积大于500失业人数大于500000且男性人口大于700000的美国大州和塔斯马尼亚水体二者的面积（states-LAND_KM_gt_400000_and_WATER_KM_gt_500_an_2662fd0b_measured,tasmania_water_bodies_measured）（gakvvvvfaaSH）
